symbol,Date,regime_score,raw_regime_score,regime_label,trend_score,structure_score,monthly_structure_score,weekly_structure_score,daily_structure_score,trendline_structure_score,volatility_score,volatility_expansion_score,volatility_compression_score,persistence_score,days_in_current_regime,calibration_q10,calibration_q30,calibration_q70,calibration_q90
NIFTY_50,2024-08-13,66.59801654880812,66.59801654880812,RISK_ON,78.31865200080946,40.085386592829074,33.52176538097063,33.52176538097063,33.52176538097063,59.776250228404415,56.05870160608808,24.31448937203179,75.68551062796821,50.0,2,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-14,66.32443445195845,66.32443445195845,RISK_ON,78.3844756739902,39.44115286141718,32.803770008197425,32.803770008197425,32.803770008197425,59.35330142107645,55.51862075644895,20.560361803682497,79.4396381963175,50.0,3,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-16,70.19501710264586,70.19501710264586,STRONG_RISK_ON,81.07689116676227,46.0853784897367,39.26209736691458,39.26209736691458,39.26209736691458,66.55522185820304,56.84459365237928,23.11787829341662,76.88212170658338,50.0,1,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-19,70.1998003852223,70.1998003852223,STRONG_RISK_ON,80.91362396750408,46.58737074210117,39.90079501179419,39.90079501179419,39.90079501179419,66.64709793302215,56.249390944899034,19.53081704181738,80.46918295818261,50.0,2,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-20,71.28038264337485,71.28038264337485,STRONG_RISK_ON,81.43180739395903,48.98613941650648,42.44328714860597,42.44328714860597,42.44328714860597,68.61469622020803,56.12886767078713,17.51823388600979,82.4817661139902,50.0,3,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-21,71.8115423105864,71.8115423105864,STRONG_RISK_ON,81.65070348329819,50.29591721347428,43.8692790337936,43.8692790337936,43.8692790337936,69.57583175251632,55.8841302948088,15.37589383769627,84.62410616230373,50.0,4,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-22,72.05822916573166,72.05822916573166,STRONG_RISK_ON,81.75614825362396,51.01473558050328,44.69096794518167,44.69096794518167,44.69096794518167,69.98603848646813,55.49998390495685,12.568880107923095,87.43111989207691,50.0,5,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-23,71.99367117981814,71.99367117981814,STRONG_RISK_ON,81.62423204548028,51.16046647012418,44.92226081641751,44.92226081641751,44.92226081641751,69.87508343124418,55.1692792835635,10.671987117636018,89.32801288236398,50.0,6,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-26,73.49484755501074,73.49484755501074,STRONG_RISK_ON,82.92867076066764,53.35135609149939,46.7523173963664,46.7523173963664,46.7523173963664,73.1484721768984,55.7169169510142,11.279214565203418,88.72078543479658,50.0,7,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-27,73.48356111742956,73.48356111742956,STRONG_RISK_ON,82.97039510098557,53.31095473552395,46.89257931556096,46.89257931556096,46.89257931556096,72.56608099541295,55.596862730022636,10.381496297851282,89.61850370214873,50.0,8,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-08-28,73.72529791170815,73.72529791170815,STRONG_RISK_ON,83.25223105646916,53.55526184209489,47.570153490312435,47.570153490312435,47.570153490312435,71.51058689744227,55.6989382582691,10.404382590032633,89.59561740996736,50.0,9,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-09-03,75.77865105855054,75.77865105855054,STRONG_RISK_ON,85.43921831698322,55.945112035479895,49.87480346627153,49.87480346627153,49.87480346627153,74.156037743105,56.52168458427311,10.786387822193225,89.21361217780678,50.0,10,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-09-04,74.43661355037578,74.43661355037578,STRONG_RISK_ON,84.3047087697835,53.959877982999316,48.30444561431303,48.30444561431303,48.30444561431303,70.92617508905819,55.98867914289516,9.880207156472938,90.11979284352705,50.0,11,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-09-05,73.51547907640105,73.51547907640105,STRONG_RISK_ON,83.57471760884681,52.51521426756823,47.2616702413619,47.2616702413619,47.2616702413619,68.27584634618725,55.65196852219175,9.338782393969117,90.66121760603089,50.0,12,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-09-06,70.44812521898596,70.44812521898596,STRONG_RISK_ON,79.93160436997935,49.37825914080921,45.49705028983517,45.49705028983517,45.49705028983517,61.02188569373135,54.666215564753806,11.267693568406848,88.73230643159316,50.0,13,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2024-09-09,70.81154651868731,70.81154651868731,STRONG_RISK_ON,80.36415920679741,49.75531724190304,45.948338143356416,45.948338143356416,45.948338143356416,61.17625453754292,54.767372537483574,10.932778767363182,89.06722123263681,50.0,14,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
