ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at,weight,revenue_q1_fy26,net_profit_q1_fy26,operating_profit_q1_fy26,revenue_q4_fy26,net_profit_q4_fy26,operating_profit_q4_fy26,revenue_yoy_growth,profit_yoy_growth,operating_profit_yoy_growth,revenue_qoq_growth,profit_qoq_growth,operating_profit_qoq_growth,weighted_revenue,weighted_revenue_q1_fy26,weighted_revenue_q4_fy26,weighted_profit,weighted_profit_q1_fy26,weighted_profit_q4_fy26,weighted_operating_profit,weighted_operating_profit_q1_fy26,weighted_operating_profit_q4_fy26,index_name
INDIANB.NS,Indian Bank,Q1 FY27,2026-06-30,180950000000.0,,33570000000.0,24.92,0.0347095150960658,0.1111452256677924,0.0576559546313799,0.4743083003952569,DECLARED,2026-07-22T10:24:20.30685+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.009699999999999999,162850000000.0,22770000000.0,,174880000000.0,31740000000.0,,11.114522566779245,47.43083003952569,,3.4709515096065875,5.765595463137997,,1755214999.9999998,1579644999.9999998,1696335999.9999998,325628999.99999994,220868999.99999997,307877999.99999994,,,,NIFTY MIDCAP 100
JSWENERGY.NS,JSW Energy Limited,Q1 FY27,2026-06-30,52071300000.0,6958100000.0,-70000000.0,2.64,0.1573971993776394,0.0124693758506708,-9999.0,-9999.0,DECLARED,2026-07-22T10:48:48.629341+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.009599999999999997,51430000000.0,8360000000.0,27890000000.0,44990000000.0,5740000000.0,22500000000.0,1.2469375850670814,-100.83732057416267,-75.05163140910722,15.739719937763946,-101.21951219512195,-69.07511111111111,499884479.9999999,493727999.9999999,431903999.9999999,-671999.9999999998,80255999.99999999,55103999.999999985,66797759.999999985,267743999.99999994,215999999.99999994,NIFTY MIDCAP 100
LTF.NS,L&T Finance Limited,Q1 FY27,2026-06-30,52130000000.0,,9160000000.0,3.6,0.0926430517711171,0.2237089201877934,0.1322620519159456,0.3067047075606277,DECLARED,2026-07-22T10:25:16.792165+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.007499999999999999,42600000000.0,7010000000.0,,47710000000.0,8090000000.0,,22.370892018779344,30.670470756062766,,9.264305177111716,13.22620519159456,,390974999.99999994,319499999.99999994,357824999.99999994,68699999.99999999,52574999.99999999,60674999.99999999,,,,NIFTY MIDCAP 100
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Q1 FY27,2026-06-30,57179100000.0,12422200000.0,9274800000.0,,0.032350376349813,0.1456441594870767,-0.0138227288193263,0.7532703213610586,DECLARED,2026-07-21T10:36:53.649021+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0063999999999999994,49910000000.0,5290000000.0,,55387300000.0,9404800000.0,12590700000.0,14.564415948707673,75.32703213610587,,3.2350376349813046,-1.38227288193263,-1.3382893723144862,365946239.99999994,319424000.0,354478719.99999994,59358719.99999999,33856000.0,60190719.99999999,79502080.0,,80580480.0,NIFTY MIDCAP 100
OBEROIRLTY.NS,Oberoi Realty Limited,Q1 FY27,2026-06-30,13010000000.0,7340000000.0,5440000000.0,14.95,-0.2565714285714285,0.3168016194331984,-0.2261735419630156,0.2921615201900237,DECLARED,2026-07-22T10:26:07.735272+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.006199999999999999,9880000000.0,4210000000.0,5200000000.0,17500000000.0,7030000000.0,9490000000.0,31.68016194331984,29.216152019002372,41.15384615384615,-25.657142857142855,-22.617354196301566,-22.655426765015807,80661999.99999999,61255999.99999999,108499999.99999999,33727999.99999999,26101999.999999996,43585999.99999999,45507999.99999999,32239999.999999993,58837999.99999999,NIFTY MIDCAP 100
PAYTM.NS,One 97 Communications Limited,Q1 FY27,2026-06-30,24480000000.0,2030000000.0,2200000000.0,3.44,0.0812720848056537,0.2763295099061522,0.2021857923497267,0.7886178861788617,DECLARED,2026-07-22T10:26:21.768304+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.014499999999999997,19180000000.0,1230000000.0,720000000.0,22640000000.0,1830000000.0,1320000000.0,27.632950990615225,78.86178861788618,181.94444444444443,8.12720848056537,20.21857923497268,53.78787878787878,354959999.99999994,278109999.99999994,328279999.99999994,31899999.999999993,17834999.999999996,26534999.999999996,29434999.999999996,10439999.999999998,19139999.999999996,NIFTY MIDCAP 100
POLYCAB.NS,Polycab India Limited,Q1 FY27,2026-06-30,82100000000.0,11360000000.0,7970000000.0,52.07,-0.0737815884476534,0.390111750761937,0.0139949109414758,0.3283333333333333,DECLARED,2026-07-22T10:26:40.395867+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.013399999999999999,59060000000.0,6000000000.0,8580000000.0,88640000000.0,7860000000.0,11610000000.0,39.0111750761937,32.83333333333333,32.400932400932405,-7.378158844765342,1.3994910941475827,-2.1533161068044793,1100140000.0,791403999.9999999,1187776000.0,106797999.99999999,80399999.99999999,105323999.99999999,152224000.0,114971999.99999999,155574000.0,NIFTY MIDCAP 100
SRF.NS,SRF Limited,Q1 FY27,2026-06-30,50332600000.0,9791500000.0,7588700000.0,25.6,0.0906305525460455,0.3179523435454307,0.3039003436426117,0.7566435185185185,DECLARED,2026-07-22T10:47:56.893845+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0112,38190000000.0,4320000000.0,8300000000.0,46150000000.0,5820000000.0,10260000000.0,31.795234354543073,75.66435185185185,17.96987951807229,9.063055254604551,30.39003436426117,-4.5662768031189085,563725120.0,427728000.0,516880000.0,84993440.0,48384000.0,65184000.0,109664800.0,92960000.0,114912000.0,NIFTY MIDCAP 100
TATACOMM.NS,Tata Communications Limited,Q1 FY27,2026-06-30,65830000000.0,12300000000.0,1300000000.0,4.71,0.0044247787610619,0.1045302013422818,-0.4980694980694981,-0.3157894736842105,DECLARED,2026-07-22T10:27:52.495359+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0056999999999999985,59600000000.0,1900000000.0,11370000000.0,65540000000.0,2590000000.0,12840000000.0,10.453020134228188,-31.57894736842105,8.179419525065963,0.4424778761061947,-49.80694980694981,-4.205607476635514,375230999.9999999,339719999.9999999,373577999.9999999,7409999.999999998,10829999.999999996,14762999.999999996,70109999.99999999,64808999.999999985,73187999.99999999,NIFTY MIDCAP 100
TATAELXSI.NS,Tata Elxsi Limited,Q1 FY27,2026-06-30,10211075000.0,2324569000.0,1705987000.0,27.38,0.0275283189595142,0.1021660842315958,-0.225787640009385,-0.0732355895456266,DECLARED,2026-07-14T16:21:28.124895+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.004399999999999999,,,,9937512000.0,2203513000.0,2677725000.0,,,,2.752831895951421,-22.5787640009385,-13.188658282683996,44928729.99999999,,43725052.8,7506342.799999999,,9695457.2,10228103.599999998,,11781989.999999998,NIFTY MIDCAP 100
