symbol,date,eps
ABANSENT,2023-06-30,0.48
ABANSENT,2023-09-30,0.32
ABANSENT,2023-12-31,0.73
ABANSENT,2024-03-31,-0.19
ABANSENT,2024-06-30,0.64
ABANSENT,2024-09-30,0.74
ABANSENT,2024-12-31,0.71
ABANSENT,2025-03-31,0.61
ABANSENT,2025-06-30,0.67
ABANSENT,2025-09-30,0.7
ABANSENT,2025-12-31,0.34
ABB,2011-12-31,3.03
ABB,2019-03-31,5.48
ABB,2019-06-30,6.15
ABB,2019-09-30,6.38
ABB,2022-03-31,3.76
ABB,2022-06-30,6.87
ABB,2024-09-30,20.79
ABB,2024-12-31,24.94
ABB,2025-06-30,16.6
ABB,2025-09-30,19.3
ABB,2025-12-31,20.43
ABCAPITAL,2022-12-31,13.53
ABCAPITAL,2023-03-31,2.52
ABCAPITAL,2023-06-30,2.5
ABCAPITAL,2023-09-30,2.71
ABCAPITAL,2023-12-31,2.83
ABCAPITAL,2024-03-31,4.79
ABCAPITAL,2024-06-30,2.92
ABCAPITAL,2024-09-30,3.84
ABCAPITAL,2024-12-31,2.72
ABCAPITAL,2025-03-31,3.32
ABCAPITAL,2025-06-30,3.2
ABCAPITAL,2025-09-30,3.27
ABCAPITAL,2025-12-31,3.61
ABCOTS,2023-12-31,2.75
ABCOTS,2024-03-31,1.84
ABCOTS,2024-06-30,2.21
ABCOTS,2024-09-30,1.71
ABCOTS,2024-12-31,3.95
ABCOTS,2025-03-31,1.29
ABCOTS,2025-06-30,1.9
ABCOTS,2025-09-30,1.65
ABCOTS,2025-12-31,1.49
ABDL,2023-03-31,-0.05
ABDL,2023-06-30,-0.11
ABDL,2023-09-30,0.46
ABDL,2023-12-31,-0.18
ABDL,2024-03-31,-0.1
ABDL,2024-06-30,0.4
ABDL,2024-09-30,1.7
ABDL,2024-12-31,2.05
ABDL,2025-03-31,2.81
ABDL,2025-06-30,2.02
ABDL,2025-09-30,2.3
ABDL,2025-12-31,2.38
ABFRL,2022-12-31,0.17
ABFRL,2023-03-31,-1.97
ABFRL,2023-06-30,-1.49
ABFRL,2023-09-30,-1.89
ABFRL,2023-12-31,-0.82
ABFRL,2024-03-31,-2.26
ABFRL,2024-06-30,-1.59
ABFRL,2024-09-30,-1.36
ABFRL,2024-12-31,-0.48
ABFRL,2025-03-31,-0.14
ABFRL,2025-06-30,-1.74
ABFRL,2025-09-30,-2.16
ABFRL,2025-12-31,-1.25
ABLBL,2025-06-30,0.2
ABLBL,2025-09-30,0.19
ABLBL,2025-12-31,0.57
ABMKNO,2022-12-31,1.72
ABMKNO,2023-03-31,1.6
ABMKNO,2023-06-30,1.56
ABMKNO,2023-09-30,1.74
ABMKNO,2023-12-31,1.26
ABMKNO,2024-03-31,2.66
ABMKNO,2024-06-30,1.68
ABMKNO,2024-09-30,1.9
ABMKNO,2024-12-31,1.75
ABMKNO,2025-03-31,1.85
ABMKNO,2025-06-30,1.86
ABMKNO,2025-09-30,1.01
ABMKNO,2025-12-31,0.96
ABREL,2022-12-31,0.78
ABREL,2023-03-31,13.01
ABREL,2023-06-30,-0.53
ABREL,2023-09-30,-2.73
ABREL,2023-12-31,7.46
ABREL,2024-03-31,0.34
ABREL,2024-06-30,0.7
ABREL,2024-09-30,0.23
ABREL,2024-12-31,-3.63
ABREL,2025-03-31,-11.73
ABREL,2025-06-30,-2.28
ABREL,2025-09-30,-1.41
ABREL,2025-12-31,-6.52
ABSLAMC,2023-03-31,4.71
ABSLAMC,2023-06-30,6.41
ABSLAMC,2023-09-30,6.18
ABSLAMC,2023-12-31,7.27
ABSLAMC,2024-03-31,7.23
ABSLAMC,2024-06-30,8.18
ABSLAMC,2024-09-30,8.41
ABSLAMC,2024-12-31,7.78
ABSLAMC,2025-03-31,7.91
ABSLAMC,2025-06-30,9.6
ABSLAMC,2025-09-30,8.36
ABSLAMC,2025-12-31,9.33
ABSLAMC,2026-03-31,6.48
ACC,2022-12-31,6.03
ACC,2023-03-31,12.55
ACC,2023-06-30,24.82
ACC,2023-09-30,20.65
ACC,2023-12-31,28.63
ACC,2024-03-31,50.23
ACC,2024-06-30,19.15
ACC,2024-09-30,10.63
ACC,2024-12-31,58.14
ACC,2025-03-31,39.99
ACC,2025-06-30,19.99
ACC,2025-09-30,59.6
ACC,2025-12-31,21.52
ACCELYA,2022-12-31,16.89
ACCELYA,2023-03-31,24.31
ACCELYA,2023-06-30,21.51
ACCELYA,2023-09-30,21.12
ACCELYA,2023-12-31,20.72
ACCELYA,2024-03-31,0.13
ACCELYA,2024-06-30,20.9
ACCELYA,2024-09-30,21.75
ACCELYA,2024-12-31,21.68
ACCELYA,2025-03-31,20.27
ACCELYA,2025-06-30,22.75
ACCELYA,2025-09-30,19.84
ACCELYA,2025-12-31,9.34
ACE,2022-12-31,3.9
ACE,2023-03-31,4.0
ACE,2023-06-30,5.67
ACE,2023-09-30,6.21
ACE,2023-12-31,7.41
ACE,2024-03-31,8.27
ACE,2024-06-30,7.07
ACE,2024-09-30,7.96
ACE,2024-12-31,9.38
ACE,2025-03-31,9.96
ACE,2025-06-30,8.21
ACE,2025-09-30,7.56
ACE,2025-12-31,9.78
ACEINTEG,2022-09-30,0.39
ACEINTEG,2022-12-31,0.05
ACEINTEG,2023-03-31,0.24
ACEINTEG,2023-06-30,0.03
ACEINTEG,2023-09-30,-0.19
ACEINTEG,2023-12-31,-0.16
ACEINTEG,2024-03-31,0.73
ACEINTEG,2024-06-30,0.05
ACEINTEG,2024-09-30,-0.01
ACEINTEG,2024-12-31,-0.21
ACEINTEG,2025-03-31,-1.35
ACI,2022-12-31,7.97
ACI,2023-03-31,11.09
ACI,2023-06-30,7.63
ACI,2023-09-30,5.36
ACI,2023-12-31,8.23
ACI,2024-03-31,4.67
ACI,2024-06-30,3.64
ACI,2024-09-30,1.28
ACI,2024-12-31,3.89
ACI,2025-03-31,4.34
ACI,2025-06-30,3.26
ACI,2025-09-30,2.36
ACI,2025-12-31,1.91
ACMESOLAR,2023-06-30,7.88
ACMESOLAR,2023-09-30,3.7
ACMESOLAR,2023-12-31,4.26
ACMESOLAR,2024-03-31,50.97
ACMESOLAR,2024-06-30,0.03
ACMESOLAR,2024-09-30,0.29
ACMESOLAR,2024-12-31,1.85
ACMESOLAR,2025-03-31,2.04
ACMESOLAR,2025-06-30,2.16
ACMESOLAR,2025-09-30,1.9
ACMESOLAR,2025-12-31,1.88
ACSTECH,2022-12-31,0.01
ACSTECH,2023-03-31,0.22
ACSTECH,2023-06-30,0.05
ACSTECH,2023-09-30,0.01
ACSTECH,2023-12-31,0.13
ACSTECH,2024-03-31,0.38
ACSTECH,2024-06-30,0.13
ACSTECH,2024-09-30,0.25
ACSTECH,2024-12-31,0.09
ACSTECH,2025-03-31,0.31
ACSTECH,2025-06-30,0.12
ACSTECH,2025-09-30,0.36
ACSTECH,2025-12-31,0.47
ACUTAAS,2022-12-31,3.06
ACUTAAS,2023-03-31,3.73
ACUTAAS,2023-06-30,2.71
ACUTAAS,2023-09-30,-2.55
ACUTAAS,2023-12-31,2.27
ACUTAAS,2024-03-31,3.41
ACUTAAS,2024-06-30,1.71
ACUTAAS,2024-09-30,4.56
ACUTAAS,2024-12-31,5.49
ACUTAAS,2025-03-31,7.63
ACUTAAS,2025-06-30,5.41
ACUTAAS,2025-09-30,8.82
ACUTAAS,2025-12-31,13.19
ADANIENSOL,2023-03-31,3.49
ADANIENSOL,2023-06-30,1.57
ADANIENSOL,2023-09-30,2.47
ADANIENSOL,2023-12-31,2.91
ADANIENSOL,2024-03-31,3.24
ADANIENSOL,2024-06-30,-7.39
ADANIENSOL,2024-09-30,5.62
ADANIENSOL,2024-12-31,4.68
ADANIENSOL,2025-03-31,5.39
ADANIENSOL,2025-06-30,4.27
ADANIENSOL,2025-09-30,4.44
ADANIENSOL,2025-12-31,4.6
ADANIENSOL,2026-03-31,5.69
ADANIENT,2022-12-31,6.42
ADANIENT,2023-03-31,5.66
ADANIENT,2023-06-30,5.28
ADANIENT,2023-09-30,1.78
ADANIENT,2023-12-31,14.79
ADANIENT,2024-03-31,3.53
ADANIENT,2024-06-30,11.39
ADANIENT,2024-09-30,13.64
ADANIENT,2024-12-31,0.45
ADANIENT,2025-03-31,29.74
ADANIENT,2025-06-30,5.68
ADANIENT,2025-09-30,24.74
ADANIENT,2025-12-31,43.53
ADANIGREEN,2023-03-31,3.21
ADANIGREEN,2023-06-30,2.03
ADANIGREEN,2023-09-30,2.35
ADANIGREEN,2023-12-31,1.62
ADANIGREEN,2024-03-31,0.95
ADANIGREEN,2024-06-30,2.82
ADANIGREEN,2024-09-30,1.74
ADANIGREEN,2024-12-31,3.11
ADANIGREEN,2025-03-31,1.45
ADANIGREEN,2025-06-30,4.39
ADANIGREEN,2025-09-30,3.54
ADANIGREEN,2025-12-31,-0.25
ADANIGREEN,2026-03-31,2.41
ADANIPORTS,2022-12-31,6.09
ADANIPORTS,2023-03-31,5.36
ADANIPORTS,2023-06-30,9.79
ADANIPORTS,2023-09-30,8.09
ADANIPORTS,2023-12-31,10.22
ADANIPORTS,2024-03-31,9.44
ADANIPORTS,2024-06-30,14.41
ADANIPORTS,2024-09-30,11.32
ADANIPORTS,2024-12-31,11.67
ADANIPORTS,2025-03-31,13.95
ADANIPORTS,2025-06-30,15.34
ADANIPORTS,2025-09-30,14.39
ADANIPORTS,2025-12-31,13.25
ADANIPOWER,2022-12-31,0.0
ADANIPOWER,2023-03-31,2.72
ADANIPOWER,2023-06-30,4.54
ADANIPOWER,2023-09-30,3.42
ADANIPOWER,2023-12-31,1.42
ADANIPOWER,2024-03-31,1.42
ADANIPOWER,2024-06-30,2.03
ADANIPOWER,2024-09-30,1.73
ADANIPOWER,2024-12-31,1.59
ADANIPOWER,2025-03-31,1.37
ADANIPOWER,2025-06-30,1.76
ADANIPOWER,2025-09-30,1.53
ADANIPOWER,2025-12-31,1.29
ADFFOODS,2022-12-31,1.69
ADFFOODS,2023-03-31,1.49
ADFFOODS,2023-06-30,1.37
ADFFOODS,2023-09-30,1.37
ADFFOODS,2023-12-31,1.76
ADFFOODS,2024-03-31,2.35
ADFFOODS,2024-06-30,1.37
ADFFOODS,2024-09-30,1.79
ADFFOODS,2024-12-31,1.71
ADFFOODS,2025-03-31,1.5
ADFFOODS,2025-06-30,1.39
ADFFOODS,2025-09-30,2.4
ADFFOODS,2025-12-31,2.04
ADOR,2022-06-30,7.66
ADOR,2022-09-30,7.34
ADOR,2022-12-31,12.03
ADOR,2023-09-30,19.08
ADOR,2023-12-31,13.76
ADOR,2024-03-31,18.66
ADOR,2024-06-30,14.6
ADOR,2024-09-30,4.93
ADOR,2024-12-31,8.85
ADOR,2025-03-31,10.39
ADOR,2025-06-30,-2.27
ADOR,2025-09-30,14.37
ADOR,2025-12-31,15.35
ADROITINFO,2022-12-31,0.21
ADROITINFO,2023-03-31,-0.37
ADROITINFO,2023-06-30,0.08
ADROITINFO,2023-09-30,-0.13
ADROITINFO,2023-12-31,0.29
ADROITINFO,2024-03-31,0.34
ADROITINFO,2024-06-30,0.2
ADROITINFO,2024-09-30,0.18
ADROITINFO,2024-12-31,0.22
ADROITINFO,2025-03-31,-0.15
ADROITINFO,2025-06-30,0.16
ADROITINFO,2025-09-30,0.14
ADROITINFO,2025-12-31,0.28
ADSL,2022-12-31,3.53
ADSL,2023-03-31,-6.81
ADSL,2023-06-30,1.56
ADSL,2023-09-30,2.08
ADSL,2023-12-31,2.12
ADSL,2024-03-31,2.55
ADSL,2024-06-30,1.88
ADSL,2024-09-30,2.08
ADSL,2024-12-31,3.15
ADSL,2025-03-31,-1.35
ADSL,2025-06-30,2.56
ADSL,2025-09-30,2.73
ADSL,2025-12-31,2.46
ADVAIT,2022-12-31,2.69
ADVAIT,2023-03-31,3.43
ADVAIT,2023-06-30,1.44
ADVAIT,2023-09-30,5.39
ADVAIT,2023-12-31,7.54
ADVAIT,2024-03-31,7.09
ADVAIT,2024-06-30,5.33
ADVAIT,2024-09-30,4.02
ADVAIT,2024-12-31,9.06
ADVAIT,2025-03-31,10.5
ADVAIT,2025-06-30,7.73
ADVAIT,2025-09-30,8.78
ADVAIT,2025-12-31,15.17
ADVANIHOTR,2006-03-31,0.43
ADVANIHOTR,2006-06-30,0.15
ADVANIHOTR,2006-09-30,-0.09
ADVANIHOTR,2006-12-31,0.38
ADVANIHOTR,2007-03-31,0.67
ADVANIHOTR,2007-06-30,0.25
ADVANIHOTR,2007-09-30,-0.06
ADVANIHOTR,2007-12-31,0.17
ADVANIHOTR,2008-03-31,0.9
ADVANIHOTR,2008-06-30,0.43
ADVANIHOTR,2008-09-30,-0.52
ADVANIHOTR,2008-12-31,0.19
