ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q1 FY25,,,,,,,,,,missing,,,,,
AAVAS.NS,Aavas Financiers Limited,Q4 FY26,2026-03-31,7146816000.0,2307611000.0,1816680000.0,,0.1976397828407165,0.30894065934065934,0.2407075669174699,0.27935211267605636,DECLARED,2026-05-05T17:41:40.89504+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
AAVAS.NS,Aavas Financiers Limited,Q3 FY26,,,,,,,,,,missing,,,,,
AAVAS.NS,Aavas Financiers Limited,Q2 FY26,,,,,,,,,,missing,,,,,
AAVAS.NS,Aavas Financiers Limited,Q1 FY26,,,,,,,,,,missing,,,,,
AAVAS.NS,Aavas Financiers Limited,Q4 FY25,,,,,,,,,,missing,,,,,
AAVAS.NS,Aavas Financiers Limited,Q3 FY25,2024-12-31,5967417000.0,1883964000.0,1464229000.0,18.5,0.030353327617030256,0.17468838582677165,-0.010020621344782123,0.2514777777777778,ok,2026-05-05T11:20:44.449083+00:00,,,,
AAVAS.NS,Aavas Financiers Limited,Q2 FY25,2024-09-30,5791622000.0,1900208000.0,1479050000.0,18.69,0.06779995069952652,0.16531629778672033,0.1729118077853652,0.2123360655737705,ok,2026-05-05T06:06:09.700205+00:00,,,,
AAVAS.NS,Aavas Financiers Limited,Q1 FY25,2024-06-30,5423883000.0,1609479000.0,1261007000.0,15.93,-0.006614835164835165,0.16143104925053534,-0.1119669014084507,0.14637,ok,2026-05-05T06:06:10.231356+00:00,,,,
ABB.NS,ABB India Limited,Q4 FY26,2026-03-31,31840000000.0,4080000000.0,17840000000.0,84.17,-0.06982179374817411,0.05780730897009967,3.120092378752887,2.7557894736842106,DECLARED,2026-05-25T12:50:11.587545+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
ABB.NS,ABB India Limited,Q3 FY26,2025-12-31,34230000000.0,5270000000.0,4330000000.0,20.43,0.03382663847780127,0.017257416944780425,0.05867970660146699,-0.18056054957324805,ok,2026-05-11T06:23:42.006368+00:00,,,,
ABB.NS,ABB India Limited,Q2 FY26,2025-09-30,33110000000.0,5000000000.0,4090000000.0,19.3,0.042834645669291335,0.1369567606175485,0.16193181818181818,-0.07140424565784993,ok,2026-05-11T06:23:41.772566+00:00,,,,
ABB.NS,ABB India Limited,Q1 FY26,2025-06-30,31750000000.0,4140000000.0,3520000000.0,16.6,0.054817275747508304,0.12156729757034965,-0.25894736842105265,-0.20629551962840198,ok,2026-05-11T06:23:41.539741+00:00,,,,
ABB.NS,ABB India Limited,Q4 FY25,2025-03-31,30100000000.0,5600000000.0,4750000000.0,22.4,-0.10547916301379226,-0.0228414860600709,-0.10107681535171552,0.03420496853839622,ok,2026-05-11T06:23:41.305803+00:00,,,,
ABB.NS,ABB India Limited,Q3 FY25,2024-12-31,33649300000.0,7051300000.0,5284100000.0,25.1,0.15547566067798474,0.6038751191611058,0.19970484731524576,2.6192465753424656,ok,2026-05-11T17:55:35.291454+00:00,,,,
ABB.NS,ABB India Limited,Q2 FY25,2024-09-30,29121600000.0,5972800000.0,4404500000.0,20.79,0.028719187808651788,0.4745113924050633,-0.006854720512300165,4.505625,ok,2026-05-11T17:55:35.766369+00:00,,,,
ABB.NS,ABB India Limited,Q1 FY25,2024-06-30,28308600000.0,5937600000.0,4434900000.0,20.89,-0.08099702632159878,0.621340206185567,-0.034400923164014025,2.285111111111111,ok,2026-05-11T17:55:36.282654+00:00,,,,
ABCAPITAL.NS,Aditya Birla Capital Limited,Q4 FY26,2026-03-31,134590000000.0,,11650000000.0,4.31,0.1260876840696118,0.10193220894056002,0.20600414078674947,0.3148984198645598,DECLARED,2026-05-18T17:41:17.484747+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
ABCAPITAL.NS,Aditya Birla Capital Limited,Q3 FY26,2025-12-31,119520000000.0,,9660000000.0,3.61,0.12807928268050967,0.27401706577411566,0.09523809523809523,0.3335542118777437,ok,2026-05-11T06:23:47.308796+00:00,,,,
