symbol,source_ticker,Date,Open,High,Low,Close,Volume,EMA10,EMA10_Dist,EMA21,EMA21_Dist,EMA50,EMA50_Dist,EMA200,EMA200_Dist,Above_EMA200,Above_EMA50,EMA50_Above_EMA200,days_above_ema200,days_below_ema200,days_above_ema50,days_below_ema50,EMA10_21_Spread,EMA21_50_Spread,EMA50_200_Spread,EMA50_Slope_5,EMA50_Slope_20,EMA200_Slope_20,RSI7,RSI14,RSI28,ADX14,ADX28,ROC1,ROC5,ROC10,ATR5,NATR5,ATR14,NATR14,ATR21,NATR21,ATR50,ATR5_ATR50_RATIO,GK_VOL_21,BB_WIDTH,VOL_Z_5,VOL_Z_20,CMF20
NIFTY_MIDCAP_100,MOM100.NS,2026-03-13,60.09999847412109,61.09999847412109,58.83000183105469,59.060001373291016,1266824,61.358266202442955,-0.037456482580018456,62.34460867731488,-0.05268470479980771,63.241823832629265,-0.06612431783127452,62.699261750706945,-0.05804311367948278,0,0,1,0,9,0,10,-0.0158208142740468,-0.014187053771391574,0.008653404629859175,-0.0018471102299427722,-0.0007052779922927966,1.069248159888403e-05,23.478363522363423,30.465787219317676,36.727319238120586,18.22366748062196,10.567849499487348,-0.02701811151623157,-0.044954702012246606,-0.08419904900522701,2.4400811938371976,4.131529185742091,2.079293598892425,3.520646038848136,1.9065401613680997,3.2281410718529093,1.5962471204283832,1.528636238468111,0.020596316514938002,0.10489858587047858,1.0741343157089973,2.358587705763203,-0.30299257764961585
NIFTY_MIDCAP_100,MOM100.NS,2026-03-16,59.38999938964844,59.38999938964844,57.95000076293945,58.93000030517578,635257,60.91676331203074,-0.03261438886170405,62.03418973439314,-0.05003997702731861,63.0727327139056,-0.06568182843006064,62.661756661696685,-0.05955396968310687,0,0,1,0,10,0,11,-0.018013073551001395,-0.016465799638383145,0.006558642369822579,-0.001992342547239101,-0.0008326704477207625,-2.9646276194711386e-05,22.884468906343557,30.03976537260307,36.4314995626818,17.81452664508342,10.57345210995171,-0.002201169405560255,-0.028679708526185066,-0.07560783835018381,2.240064680411555,3.8012297112016333,2.0336296723078933,3.4509242521237202,1.8843238978129035,3.1975630206256844,1.5931221505539952,1.4060846995521283,0.020769910567789533,0.11756466849742829,-0.18945700557208597,0.19849204178991908,-0.2611235604889105
NIFTY_MIDCAP_100,MOM100.NS,2026-03-17,57.45000076293945,60.0,57.45000076293945,59.540000915527344,536550,60.666442876302845,-0.018567793122011206,61.80744529631443,-0.036685618858967636,62.93419421200842,-0.05393241844087096,62.630694415466145,-0.049347904071387394,0,0,1,0,11,0,12,-0.018460598307233695,-0.017903604388709252,0.004845863507898921,-0.00218161099355485,-0.0009466371132859474,-6.742141822134729e-05,32.26419204690892,34.65704591750885,38.82901236504654,17.722038091449893,10.664639544170484,0.010351274515401299,-0.034851641417459556,-0.050701534491139344,2.3020515917413533,3.8663949552291745,2.0705132126473687,3.4775162593378512,1.9160227234913627,3.2180428183226417,1.6122596922841264,1.4278416825517621,0.021169219575557716,0.12259776062985937,-0.44698010438536734,-0.14877237498932724,-0.25885583356060543
NIFTY_MIDCAP_100,MOM100.NS,2026-03-18,59.93000030517578,60.970001220703125,59.41999816894531,60.72999954223633,796804,60.67799863374529,0.0008569977530886922,61.70949568230733,-0.015872697212008326,62.847755205350694,-0.03369659992142513,62.61178202866784,-0.030054766458650004,0,0,1,0,12,0,13,-0.01671536993062443,-0.018111379146704323,0.0037688302271098166,-0.0021266865414583335,-0.0010233313853553361,-9.63135237848578e-05,46.94996529472866,42.61391925529747,43.16553114717877,18.071456441348325,10.884380353817118,0.019986540282344034,-0.003609535979479328,-0.010750934255969402,2.151641883744645,3.5429637740211533,2.0333339154409718,3.3481540108144316,1.8985932153135745,3.126285574879918,1.6110145594736,1.3355818984328083,0.0211673494956323,0.12070893774309881,0.09976673707006403,0.658178582217351,-0.21579424947125983
NIFTY_MIDCAP_100,MOM100.NS,2026-03-19,60.72999954223633,60.72999954223633,58.54999923706055,59.06999969482422,1150364,60.38563519030509,-0.021787226239065784,61.46954150162705,-0.03903627305792278,62.699607930428094,-0.057888850591080454,62.576540413405716,-0.05603602716634515,0,0,1,0,13,0,14,-0.017633225900884113,-0.019618407026818017,0.00196667179440321,-0.0022484602107135654,-0.0011602467563136543,-0.00014138426385547077,34.70455459865887,36.02397701178812,39.15050009599566,17.81903782894802,10.937681844309978,-0.027334099455370797,-0.026853394524344654,-0.052758192484385846,2.1573135680308724,3.6521306571462513,2.0438100861363155,3.4599798488155344,1.9119935529260605,3.2368267526732213,1.6223942743876436,1.3297098011795738,0.021373411218505514,0.12173061682236062,0.8559940211441939,1.6486138183987995,-0.24331801250574425
NIFTY_MIDCAP_100,MOM100.NS,2026-03-20,59.5,59.970001220703125,59.0,59.130001068115234,559598,60.15733807717965,-0.017077501131223298,61.25685600767142,-0.03472027587066883,62.5596233475923,-0.054821658059248206,62.54224648957198,-0.054559047891343145,0,0,1,0,14,0,15,-0.017949303998789534,-0.020824411500729015,0.0002778419227908215,-0.00215743457001627,-0.0012577002678879011,-0.00017697176079332634,35.41490125370444,36.40678302440861,39.361919417382126,17.584649117433447,10.989079710142379,0.0010157672862876055,0.0011852301591017689,-0.043822753521763125,1.919851098565323,3.246830820032857,1.9671094528910877,3.3267536231312795,1.8671367752011587,3.157680942792977,1.6093464133139532,1.1929383771465218,0.021140546378880565,0.12463444658968013,-0.695562643527122,-0.2856791529549732,-0.24602380918468955
NIFTY_MIDCAP_100,MOM100.NS,2026-03-23,60.59999847412109,60.59999847412109,56.70000076293945,56.869998931884766,1259377,59.5596400507624,-0.04515878733627777,60.85805081896355,-0.06553039135187179,62.33650082148612,-0.08769343510723916,62.48580621536614,-0.08987332681802492,0,0,0,0,15,0,16,-0.021335069900013336,-0.02371724403903306,-0.0023894289427172965,-0.002334548895349076,-0.0014305377363881932,-0.00023278695031186402,23.96040393014104,29.296200868086032,34.65825546888061,16.664825597006832,10.647191212622928,-0.03822090470837369,-0.03495675144447752,-0.06263391052821266,2.3158804210885853,4.072235738675498,2.105172899911841,3.701728397134809,1.9639396769145145,3.4533844097074726,1.655159439271307,1.3991887223312844,0.02161233364812209,0.13720606630607088,1.198915268254955,1.7515969557069337,-0.3071482078386029
NIFTY_MIDCAP_100,MOM100.NS,2026-03-24,57.9900016784668,58.720001220703125,57.150001525878906,58.38999938964844,812521,59.34697811237804,-0.016125146606748696,60.633682507207624,-0.03700390648864971,62.18173605945327,-0.06097830183093432,62.44505191859283,-0.06493793189940505,0,0,0,0,16,0,17,-0.021220950825090193,-0.02489563094162442,-0.004216760993054093,-0.0023912537912865518,-0.001543052692758079,-0.000274088349345325,39.35212677145557,38.05860691179133,39.685295663991475,15.81070375661069,10.317513018586315,0.026727632957831204,-0.01931477171978002,-0.05349326163920176,2.22270479463454,3.806653224642075,2.0869464276908785,3.5741504529983934,1.9585140870051738,3.35419439540598,1.6590562962622482,1.339740429328503,0.02157970062133423,0.13776465052850884,-0.3622180988455352,0.3095098171474897,-0.2487061132888724
NIFTY_MIDCAP_100,MOM100.NS,2026-03-25,60.13999938964844,60.13999938964844,58.36000061035156,59.61000061035156,481020,59.394800384736854,0.0036232165815984494,60.54062051658434,-0.015371826358764298,62.080883688900265,-0.0398010294268811,62.41684245283919,-0.044969302069524215,0,0,0,0,17,0,18,-0.018926468246779918,-0.02481058710495314,-0.005382501753317131,-0.002440410206998589,-0.0016100559172068317,-0.0003042756915799638,49.01587748675588,44.05192093754431,43.31523051850545,15.148308143977525,10.213751507441893,0.020894009821130544,-0.018442268077177082,-0.02198523602648872,2.134163591567007,3.5802106520971906,2.0650215956627354,3.464220054552616,1.9500133580666834,3.27128558647935,1.6614751459229407,1.2844992576650855,0.02194999515902414,0.13268340314466756,-1.072970845731557,-0.7419625622230882,-0.2324978044390996
NIFTY_MIDCAP_100,MOM100.NS,2026-03-27,59.61000061035156,59.61000061035156,58.2599983215332,58.380001068115234,837593,59.21029141807838,-0.01402273709650472,60.34420056672351,-0.03254992990480383,61.93575103710477,-0.057410298728101994,62.37667487687179,-0.06407321032494558,0,0,0,0,18,0,19,-0.01879068970996393,-0.025696797790145318,-0.0070687294671826694,-0.0024365603503323507,-0.0017176777453058012,-0.00034539094300798376,41.27922406892198,39.864018910337,40.75102341206335,14.471749484436957,10.096731212071695,-0.02063411390106129,-0.011681033185606093,-0.03822075231736577,1.9773313310172775,3.3870011902024695,2.0139487880309943,3.449723794422694,1.9214414023881916,3.2912664735074904,1.655245688780849,1.1945847945229549,0.021830181090258593,0.12822153489393803,0.1560674817621159,0.3693536636492176,-0.28704476891539876
NIFTY_MIDCAP_100,MOM100.NS,2026-03-30,58.380001068115234,58.380001068115234,56.59999847412109,56.77000045776367,1450534,58.766602152566605,-0.03397510867855634,60.019273284090794,-0.054137157091977,61.733172583012966,-0.08039716602245392,62.32088707170654,-0.0890694416393015,0,0,0,0,19,0,20,-0.02087114793267968,-0.027763019900159534,-0.009430457689367379,-0.0026421219321843604,-0.0018859196534691757,-0.00040299587011139446,33.26187239732552,35.15314364553667,37.71993397322465,13.985140215132587,9.758552885922958,-0.02757794760012222,-0.03991206777813083,-0.03877414260547174,1.9378655836126517,3.413538079948414,1.997238345599791,3.5181228280695844,1.9147062210360941,3.372743007921265,1.657740826885115,1.1689798261492355,0.021973235821825914,0.12465732311875095,1.2494579293764165,1.9876796407715671,-0.3329034649240531
NIFTY_MIDCAP_100,MOM100.NS,2026-04-01,56.79999923706055,59.060001373291016,56.79999923706055,58.619998931884766,915039,58.73994702153354,-0.002042019030163594,59.89206652479933,-0.02123933380037648,61.611087341792256,-0.048547891929161986,62.284062314096374,-0.05882826594922251,0,0,0,0,20,0,21,-0.01923659626586335,-0.02790116018333718,-0.010804930624311699,-0.002327411613209529,-0.001969241554298046,-0.00043954484112314617,47.048795955625764,43.426198436692296,42.79062374379908,13.127763123018305,9.492464687153022,0.03258760717286724,0.030771936572322467,-0.00526050181037907,2.00829264999559,3.4259513589025903,2.0181499577374735,3.442766964364026,1.9325773969642488,3.2967885229917253,1.6703860286579597,1.202292533306876,0.022097696266043153,0.11320250214583108,0.04483184726696979,0.33054043088578067,-0.26702515151224426
NIFTY_MIDCAP_100,MOM100.NS,2026-04-02,60.380001068115234,60.380001068115234,56.150001525878906,57.93000030517578,1242933,58.592683982195766,-0.011310007188292491,59.71369686846992,-0.02987081116788073,61.46673098741515,-0.057538942211901346,62.240738314007615,-0.06925910787053885,0,0,0,0,21,0,22,-0.018773128194413794,-0.02852004801270708,-0.012435702846061408,-0.0022997269531184862,-0.0020402229372280755,-0.00047310518560971795,43.168343397104834,41.309363399324056,41.484235711820595,12.771810180679292,9.429426300494528,-0.011770703501901236,-0.007878045714694859,-0.027040654779897588,2.452634028443738,4.233789082553494,2.176139213773106,3.756497846209536,2.041978451501014,3.5249066817604917,1.721578298929527,1.4246427420517438,0.023926718588808554,0.10777880973606198,0.6858567029384066,1.2332761575435383,-0.259218749310736
NIFTY_MIDCAP_100,MOM100.NS,2026-04-06,58.52999877929688,58.84999847412109,57.20000076293945,58.75,859830,58.621286894523806,0.0021956717822961716,59.62608806224538,-0.01469303270962211,61.360192517320435,-0.04253885801586498,62.20600459944038,-0.05555741156652694,0,0,0,0,22,0,23,-0.01685170368166084,-0.028261066074484063,-0.013596952377287879,-0.0023217812916174196,-0.0020443609383391514,-0.0004894124662780108,49.000293448466884,44.75581303864912,43.606089800945604,12.441282448507351,9.368639284788124,0.014155009330302892,-0.014427119636737928,-0.03260331890599277,2.292106764991317,3.9014583233894755,2.138557677873715,3.6400981751041956,2.023312701961996,3.4439365139778655,1.7201466871745692,1.3325065717251254,0.02390449302367883,0.10504400240701563,-0.7395482615620371,0.09745636640616231,-0.18644190659796467
NIFTY_MIDCAP_100,MOM100.NS,2026-04-07,57.790000915527344,58.95000076293945,57.790000915527344,58.88999938964844,427182,58.67014371181919,0.00374731786765598,59.55917091019111,-0.011235406912425215,61.263322198588206,-0.03873970140317433,62.17300952272603,-0.05280442684502124,0,0,0,0,23,0,24,-0.014926789355622135,-0.02781682787089147,-0.014631547211902466,-0.002171375424554789,-0.0020725941614779366,-0.0005120608708432839,50.02185111586383,45.34590938281478,43.965840967829664,12.191110146158207,9.324850669522208,0.0023829683344414043,0.008735839537552526,-0.0030472372795957714,2.0656853814754754,3.5077014822292174,2.0686606899836004,3.512753797629051,1.9822025660310487,3.3659408839788103,1.70894375037932,1.2087497795155473,0.023743666741278927,0.09532024681047369,-1.4077978045452844,-1.1828080040958262,-0.18247939935592283
NIFTY_MIDCAP_100,MOM100.NS,2026-04-08,60.36000061035156,61.54999923706055,59.84999847412109,61.33000183105469,985331,59.15375427895292,0.03678967765662316,59.720155539360526,0.026956498641955803,61.265937086135914,0.0010456829351798381,62.1646213864905,-0.013425957350352215,0,1,0,0,24,1,0,-0.009484256283195778,-0.02523068478659062,-0.014456523345767355,-0.001513725853790393,-0.0020095178223466514,-0.0005110840227142976,64.48630353607408,54.4733818307932,49.75865571077828,13.226851269548556,9.637552088497197,0.0414332223925129,0.08032413839213559,0.03720616815827804,2.184548274662802,3.5619569695767526,2.1108992012284937,3.4418704356855763,2.0144786270491943,3.2846544381304015,1.7279648723199756,1.2642318774280492,0.023905669224611185,0.0924060193756332,0.33591842902513036,0.4035581698758679,-0.11731594475870717
NIFTY_MIDCAP_100,MOM100.NS,2026-04-09,61.70000076293945,61.77999877929688,60.7599983215332,61.459999084472656,537905,59.57307151632014,0.03167416955554471,59.87832313437072,0.026414833737954866,61.273547360580494,0.003042939929606774,62.15761021930625,-0.011223261839897993,0,1,0,0,25,2,0,-0.00509786517176796,-0.022770417028399038,-0.014222922271409403,-0.0010957118134897748,-0.001910155725603785,-0.0004999099625058289,65.11387795398977,54.90547783148098,50.0439957118536,14.284088674234361,9.967837730135827,0.0021196355704680148,0.04844763228139781,0.08071039632136268,1.9516387112829776,3.175461666702241,2.0329778624095787,3.3078065289512724,1.967122523749884,3.2006549838150917,1.7138055840288497,1.1387748584031478,0.023906082393984437,0.09584767013567852,-0.8211608558320417,-0.8765374754113641,-0.04876867827060301
NIFTY_MIDCAP_100,MOM100.NS,2026-04-10,61.459999084472656,62.2599983215332,61.459999084472656,62.20000076293945,1114233,60.050695015705465,0.035791521591413154,60.08938473696787,0.035124607036841546,61.30987886655535,0.014518408987913772,62.15803201576031,0.0006751942720531964,1,1,0,1,0,3,0,-0.0006438694859627226,-0.019906973429909363,-0.01364510943637839,-0.0005103642843537814,-0.0018218131676336735,-0.0004909796964548685,68.77804122608362,57.3849598826076,51.66453694690534,15.468188615446042,10.346659612233731,0.012040378937359097,0.0737096570907867,0.06525092332791615,1.7213108164384916,2.7673806998795056,1.9449079605989334,3.126861634634843,1.911545224383725,3.07322379571847,1.6955294570894837,1.0152054918545996,0.019256599084134556,0.09904888370282264,1.1243110680808035,0.8453297305400054,-0.00013313041458851794
NIFTY_MIDCAP_100,MOM100.NS,2026-04-13,62.20000076293945,62.20000076293945,60.540000915527344,61.81999969482422,694406,60.37238677554523,0.023978063425933102,60.24671336950027,0.02611406062393472,61.329883604918834,0.007991472689931474,62.15466851007936,-0.005384451776150498,0,1,0,0,1,4,0,0.0020859794504339228,-0.01766137764741641,-0.013269878593701698,-9.879014767772975e-05,-0.001726409148266639,-0.0004793378592828579,64.70641094853076,55.69154549441228,50.78718684825651,15.865256491052417,10.540780339043765,-0.006109341856176509,0.05225531395445482,0.037074300651640746,1.709048622633215,2.764556180960807,1.924557381085589,3.1131630388000784,1.8995668730993622,3.0727384058178835,1.6948188648959361,1.008396034545056,0.019435466647740963,0.10308101755326864,-0.19680734703498182,-0.5368755810767165,0.042002802344142824
NIFTY_MIDCAP_100,MOM100.NS,2026-04-15,61.25,63.38999938964844,61.25,63.22999954223633,452345,60.89195273312542,0.03839664691585759,60.51792120338536,0.04481446627580545,61.404397955401876,0.029730795311443157,62.16536832134461,0.017125792859272355,1,1,0,1,0,5,0,0.006180508555193651,-0.01443669804661814,-0.012241065829597147,0.0004605553592290423,-0.0015833725029485769,-0.00045465951815850113,71.90607179004621,60.3652400583521,53.8057275414247,16.768514351742645,10.880223962463937,0.022808150345723144,0.07369672605822375,0.08307636836906407,1.7952387760362596,2.839219973166499,1.9399460959829353,3.0680786177882093,1.91101604055408,3.02232493181905,1.703722475390986,1.053715497663005,0.019376332482119077,0.11652163093202854,-1.069099502233584,-1.2711285069607527,0.05256295454938366
NIFTY_MIDCAP_100,MOM100.NS,2026-04-16,63.22999954223633,64.04000091552734,63.060001373291016,63.63999938964844,663272,61.391597579765964,0.036623933869144386,60.80174649304564,0.04668045015659918,61.49206859988214,0.03493020870288979,62.18004126729789,0.023479529646410507,1,1,0,2,0,6,0,0.009701219467236661,-0.011226197500824037,-0.011064204098197864,0.0007381965395495182,-0.0013833845442043913,-0.00041405629740385306,73.72443132010723,61.63255884665332,54.64462049310104,17.876870229973683,11.28714183652805,0.006484261432553762,0.037665049561829145,0.1210146006075159,1.6321909292762735,2.5647249291799374,1.8713784850010349,2.9405696149416207,1.8666819215865678,2.93318972264195,1.689248016727893,0.9662233805299116,0.019140762325101937,0.13093806567117655,-0.11431183922111375,-0.524343881626599,0.12346545639831467
NIFTY_MIDCAP_100,MOM100.NS,2026-04-17,63.630001068115234,64.5,63.58000183105469,64.43000030517578,603501,61.94403443893138,0.04013245002140169,61.13158774869383,0.05395594451172135,61.60728160793287,0.045817939431358465,62.20242891941608,0.03581164633692272,1,1,0,3,0,7,0,0.01329012905042548,-0.007721390180244281,-0.00956791112215617,0.0010893256934788819,-0.0011617152475539127,-0.00036651361751671165,77.0618880639005,64.0198283757247,56.23282031380701,19.093161201905563,11.735176551978288,0.012413590872155877,0.048324133825987436,0.09911295597330394,1.4897523772100816,2.3122029646962567,1.8034227481399119,2.7990419674032494,1.821601742889365,2.8272570763018177,1.6738630197722413,0.8900085369069142,0.018436063938153512,0.1468231361832795,-0.4136478153718195,-0.7155938456150676,0.1409367745182043
NIFTY_MIDCAP_100,MOM100.NS,2026-04-20,64.41999816894531,64.88999938964844,63.900001525878906,64.31999969482422,646891,62.37602812182098,0.03116536322586369,61.421443380160234,0.047191276452488065,61.71366270937959,0.042232738603092214,62.22349927539029,0.033693065222114675,1,1,0,4,0,8,0,0.015541555019351542,-0.0047350832277686826,-0.008193633787040015,0.0013171901503935325,-0.0009696886707702857,-0.0003250763414618163,75.5039595056258,63.42803235335715,55.949917313104145,20.381196822872006,12.214327328229675,-0.0017072886827648182,0.03408358369583686,0.11030553005326871,1.3898014745219716,2.1607610091979024,1.745320970684885,2.7134965468995946,1.7820015581693727,2.7705248237318774,1.660185716652187,0.8371361472284841,0.01822743507104546,0.15909219950585118,0.36589930236177454,-0.5987262991686457,0.11325218949352349
