horizon,feature,mean_abs_shap
10,NATR5,0.027815255252044885
10,Daily_Resistance_Touch_Count,0.026735224742761916
10,Dist_Weekly_Resistance,0.026425144702424592
10,ROC1,0.02617428634412804
10,EMA10_Dist,0.025337269335767854
10,ATR14,0.024397343181017456
10,EMA10,0.023627436624324333
10,weekly_structure_score,0.02351231012322861
10,Dist_Monthly_Resistance,0.023365376738125717
10,monthly_structure_score,0.02310154514740643
10,daily_structure_score,0.022597451838480623
10,VOL_Z_5,0.022592036372339065
10,Trendline_Support_Value,0.021383276983580196
10,Dist_Daily_Support,0.021371342551664785
10,Dist_Monthly_Support,0.020885015858889425
10,RSI7,0.020861478256303908
10,Trendline_Resistance_Slope,0.020523322627543115
10,ATR5,0.019367730591115215
10,RSI14,0.018483673651822106
10,Dist_Weekly_Support,0.016100562340875514
10,Open,0.015652198242827018
10,NATR14,0.014806526175807666
10,EMA21_Dist,0.014758773390769846
10,volatility_expansion_score,0.014561221477752639
10,Monthly_Support_Touch_Count,0.013269048755573373
10,EMA21,0.012624391257348284
10,Daily_Support_Touch_Count,0.011603650332909249
10,Weekly_Support_Touch_Count,0.01026802527688997
10,volatility_compression_score,0.009724408838009343
10,High,0.009623832037211557
10,Trendline_Support_Slope,0.008864284639077286
10,Low,0.008558378725398219
10,Close,0.007215782575167591
10,Nearest_Weekly_Support,0.005798633848017707
10,Nearest_Weekly_Resistance,0.005349365570717091
10,Nearest_Daily_Resistance,0.004874186607027162
10,EMA50_Above_EMA200,0.00449422281496719
10,Nearest_Daily_Support,0.0041218184079540605
10,Trendline_Support_Break,0.0013395718620841691
10,Nearest_Monthly_Support,0.0010414292560123706
10,Nearest_Monthly_Resistance,0.0006074257641245911
10,Above_EMA200,0.0
10,Above_EMA50,0.0
10,Daily_Support_Break,0.0
10,Daily_Resistance_Break,0.0
10,Weekly_Support_Break,0.0
10,Weekly_Resistance_Break,0.0
10,Monthly_Support_Break,0.0
10,Monthly_Resistance_Break,0.0
10,Trendline_Resistance_Break,0.0
