symbol,shortName,longName,industry,sector,marketCap,country,website,longBusinessSummary,fullTimeEmployees,sharesOutstanding,floatShares,heldPercentInsiders,heldPercentInstitutions,earningsQuarterlyGrowth,revenueGrowth
REGAAL.NS,REGAAL RESOURCES LIMITED,,Packaged Foods,Consumer Defensive,7185505280.0,India,https://www.regaalresources.com,"Regaal Resources Limited operates as a maize milling company that manufactures and sells maize starch and its derivatives in India. The company offers starches, such as native starches; and modified starches, including white and yellow dextrin. It also provides maize flour, baking powder, custard powder, and icing sugar; derivatives, such as liquid glucose, maltodextrin, dextrose anhydrous, dextrose monohydrate, and liquid sorbitol; and co-products, including germ, gluten, fibre, maize steep liquor, and enriched maize fibre. The company was incorporated in 2012 and is headquartered in Kolkata, India.",491.0,102723460.0,20964142.0,0.74996,0.014149999,-0.069,0.257
LUPIN.NS,LUPIN LIMITED,Lupin Limited,Drug Manufacturers - Specialty & Generic,Healthcare,1061482921984.0,India,https://www.lupin.com,"Lupin Limited, together with its subsidiaries, operates as a pharmaceutical company in India, the United States, and internationally. The company operates in two segments: Pharmaceuticals and Others. It engages in the drug discovery, development, production, marketing, and sale of various branded and generic formulations, biosimilars, over-the-counter and specialty drugs, and active pharmaceutical ingredients (APIs). The company also offers formulations for use in the therapeutic areas of anti-tuberculosis, diabetes management, cardiovascular, chronic obstructive pulmonary diseases, asthma, women's health, and central nervous system areas, as well as pediatrics, gastrointestinal, anti-infective, and nonsteroidal anti-inflammatory drug therapies. In addition, it focuses on various therapeutic spectrum, including rheumatology, oncology, neuroscience, and renal therapies. Further, the company is involved in the provision of diagnostics services, and digital healthcare services; and neuro rehabilition business. It operates through network consists of labs and collection centers. The company has a strategic collaboration with TB Alliance for the development and commercialization of the investigational drug Telacebec for the treatment of multiple mycobacterial diseases including tuberculosis (TB), leprosy, and buruli ulcer. The company was formerly known as Lupin Chemicals Limited and changed its name to Lupin Limited in 2001. Lupin Limited was founded in 1968 and is headquartered in Mumbai, India.",24006.0,457043219.0,241800679.0,0.4704,0.32981,0.375,0.243
EMAMIREAL.NS,EMAMI REALTY LIMITED,Emami Realty Limited,Real Estate - Development,Real Estate,2634416640.0,India,https://emamirealty.com,"Emami Realty Limited engages in the real estate development business in India. The company undertakes real estate projects in residential, commercial and retail sectors. The company was formerly known as Emami Infrastructure Limited and changed its name to Emami Realty Limited in October 2018. Emami Realty Limited was incorporated in 2006 and is based in Kolkata, India.",119.0,43833889.0,11957017.0,0.72733,0.0,,-0.915
JUBLCPL.NS,JUBILANT AGRI N CON PRO L,Jubilant Agri and Consumer Products Limited,Specialty Chemicals,Basic Materials,25115256832.0,India,https://www.jacpl.co.in,"Jubilant Agri and Consumer Products Limited manufactures and sells performance polymers, chemicals, and agri products in India and internationally. It operates through Performance Polymers & Chemicals, P&K Fertilizers, and Agri Nutrients segments. The company offers consumer products, including woodworking adhesives and wood finishes under the Jivanjor, Vamicol, Polystic, Charmwood, Hero, and Ultra Italia brands; and maintenance products comprising epoxy adhesive systems, sealants, instant adhesives, maintenance sprays, epoxy putty compounds, and paper glue products. It also provides food polymers, such as polyvinyl acetate for the chewing gum industry under the Vamipol 5, Vamipol 14, Vamipol 15, Vamipol 17, Vamipol 30, Vamipol 60, and Vamipol 100 brands; and Ester Gum that is used to produce the gum base for chewing and bubble gum under the Jubigum brand. In addition, the company offers vinyl pyridine latex, which is used in the dipping of automotive tire cords and conveyor belt fabrics under the Encord brand; and styrene butadiene and nitrile butadiene rubber latex for automotive tire manufacturers and tire cord dippers. Further, it provides crop nutrition products, such as single super phosphate fertilizer in both powder and granulated forms under the Ramban brand; and bio-stimulants. Additionally, the company produces and markets sulphuric acid as a chemical and plant growth regulator under the VAM-C brand; and provides plant macro and micronutrient products, including phosphorus, sulphur, zinc, calcium, boron, iron, copper, molybdenum, manganese, mycorrhiza, magnesium, and plant growth regulators. It also exports its products. The company was incorporated in 2008 and is based in Gurugram, India. Jubilant Agri and Consumer Products Limited operates as a subsidiary of Jubilant Industries Limited.",1404.0,15152493.0,3457597.0,0.7678,0.0,0.008,0.135
GATECH.NS,GACM TECHNOLOGIES LIMITED,GACM Technologies Limited,Asset Management,Financial Services,597438784.0,India,https://gacmtech.com,"GACM Technologies Limited provides financial consulting and financial technology-related services. The company was formerly known as Stampede Capital Limited and changed its name to GACM Technologies Limited in May 2023. GACM Technologies Limited was incorporated in 1995 and is based in Hyderabad, India.",21.0,1102742236.0,640513113.0,0.16066,0.0,-0.264,0.016
CORONA.NS,,,,,,,,,,,,,,,
LEMONTREE.NS,LEMON TREE HOTELS LTD,Lemon Tree Hotels Limited,Lodging,Consumer Cyclical,83666624512.0,India,https://www.lemontreehotels.com,"Lemon Tree Hotels Limited, together with its subsidiaries, develops, owns, acquires, operates, manages, renovates and promotes hotels, motels, resorts, restaurants in India. The company also operates hotel chains, owns, leases, operates, franchises hotels. It provides housing rental, digital transformation services. The company operates hotels in India and internationally under various brand names, including Aurika Hotels and Resorts, Lemon Tree Premier, Lemon Tree Hotels, Red Fox Hotels, Keys Prima, Keys Select, and Keys Lite. Lemon Tree Hotels Limited was incorporated in 1992 and is based in Gurugram, India.",5621.0,791847623.0,613277970.0,0.37284002,0.46137002,0.003,0.143
HMVL.NS,HINDUSTAN MEDIA VENT LTD,Hindustan Media Ventures Limited,Publishing,Communication Services,4643931136.0,India,https://www.hmvl.in,"Hindustan Media Ventures Limited engages in the publishing business in India. It operates through two segments, Printing & Publishing of Newspaper & Periodicals; and Digital. The company publishes under various brands, including Hindustan, a newspaper which covers international, national, and local news relating to politics, business, entertainment, sports, and other general interests; Nandan, a monthly children's magazine that offers traditional and modern stories, poems, interactive and educative columns, and facts; Kadambini, a monthly socio-cultural magazine, which provides a range of subjects, such as literature, art, culture, health, technology, fashion, travel, and beauty; and LiveHindustan.com, a Hindi news website. It also operates HT Media Labs, which offers OTTplay, Slurrp, MintGenie, and Upublish that caters various needs of users, ranging from entertainment to personal finance. The company was formerly known as Searchlight Publishing House Limited and changed its name to Hindustan Media Ventures Limited in November 2008. The company was incorporated in 1918 and is based in New Delhi, India. Hindustan Media Ventures Limited is a subsidiary of HT Media Limited.",1146.0,73514821.0,11828100.0,0.86333,0.0,-0.951,0.075
MANKIND.NS,MANKIND PHARMA LIMITED,Mankind Pharma Limited,Drug Manufacturers - Specialty & Generic,Healthcare,825656672256.0,India,https://www.mankindpharma.com,"Mankind Pharma Limited develops, manufactures, and markets pharmaceutical formulations and consumer healthcare products in India and internationally. The company develops pharmaceuticals for acute and chronic therapeutics in the areas of anti-infective, cardiovascular, gastrointestinal, gynaecology, anti-diabetic, dermatology, pain/analgesics, neuro/CNS, vitamins/minerals/nutrients, respiratory diseases, etc. It also provides consumer healthcare products, such as condoms, pregnancy detection kits, oral contraceptives, antacid powders, vitamin and mineral supplements, and anti-acne preparations. In addition, the company engages in the trading and exporting of pharmaceutical and health care products; manufacture of packing materials, ayurvedic products, and consumer goods; real estate, leasing, and hospitality businesses; trading of agricultural products; and provision of IT services. It offers its products under the Manforce, Moxi Kind-Cv, AmLokind-At, Unwanted-Kit, Prega News, Dydroboon, Gudcef, Candi Force, Glimestar-M, Telmikind-Am, Nurokind-Gold, Telmikind-H, Nurokind-Lc, Telmikind, Vomikind, Cefakind, Nurokind Plus-Rf, Gudcef-Cv, Monticope, and Asthakind-Dx brand names. Mankind Pharma Limited was incorporated in 1991 and is based in New Delhi, India.",19620.0,412828328.0,106341060.0,0.75266,0.19031,0.075,0.104
HIMATSEIDE.NS,HIMATSINGKA SEIDE LTD,Himatsingka Seide Limited,Textile Manufacturing,Consumer Cyclical,9973877760.0,India,https://www.himatsingka.com,"Himatsingka Seide Limited designs, develops, manufactures, distributes, and retails textile products in North America, India, the Asia Pacific, Europe, the Middle East, Africa, and internationally. The company offers bedding, bath, yarn and fiber, and drapery and upholstery solutions. It offers its products under the Disney, Himeya, Pixar, Marvel, Star Wars, Pimacott, Organicott, Gizacott, Homegrown Cotton, and Bellora brand names. Himatsingka Seide Limited was incorporated in 1985 and is based in Bengaluru, India.",6945.0,125742289.0,71950393.0,0.43448,0.13254,-0.649,-0.116
