Pair,Beta,Spread_p_value,Sharpe,Max_Drawdown,Total_Return,Correlation
JSWSTEEL.NS vs SBIN.NS,0.9423,0.003321,-3.2975,-0.0484,-48399.94,0.9371
ADANIPORTS.NS vs BAJAJ-AUTO.NS,0.1127,0.003273,-3.299,-0.0527,-52698.65,0.9469
POWERGRID.NS vs SUNPHARMA.NS,0.1812,0.007262,-3.3057,-0.0489,-48884.23,0.9743
NESTLEIND.NS vs TITAN.NS,0.2148,0.000542,-3.316,-0.0493,-49285.67,0.9409
BHARTIARTL.NS vs SBILIFE.NS,1.5916,0.012201,-3.3304,-0.0492,-49180.26,0.9428
NESTLEIND.NS vs NTPC.NS,1.3826,0.009901,-3.332,-0.0494,-49433.7,0.9021
JSWSTEEL.NS vs SHRIRAMFIN.NS,0.8386,0.000227,-3.3398,-0.0495,-49491.27,0.9319
NTPC.NS vs ONGC.NS,1.5886,0.001767,-3.3406,-0.0498,-49802.59,0.9779
PIDILITIND.NS vs RELIANCE.NS,0.9162,0.004231,-3.3418,-0.0495,-49491.96,0.8581
BHARTIARTL.NS vs JSWSTEEL.NS,2.6111,0.00012,-3.3643,-0.0507,-50681.47,0.951
SBILIFE.NS vs SHRIRAMFIN.NS,1.3588,0.009212,-3.3682,-0.0506,-50566.26,0.9284
COALINDIA.NS vs NTPC.NS,1.1729,0.000621,-3.3755,-0.0508,-50800.05,0.9912
ONGC.NS vs POWERGRID.NS,0.8162,0.000771,-3.4114,-0.0519,-51869.65,0.9779
ICICIBANK.NS vs JSWSTEEL.NS,1.3631,0.013042,-3.4145,-0.0521,-52076.01,0.9394
HCLTECH.NS vs SUNPHARMA.NS,0.7524,0.007048,-3.4196,-0.052,-51978.47,0.9558
GRASIM.NS vs ICICIBANK.NS,1.8577,0.00167,-3.4198,-0.0521,-52104.31,0.9652
ICICIBANK.NS vs M&M.NS,0.2635,0.004971,-3.4358,-0.0563,-56294.14,0.968
AXISBANK.NS vs TITAN.NS,0.2543,0.006502,-3.4821,-0.0534,-53375.83,0.9033
AXISBANK.NS vs NESTLEIND.NS,1.1527,0.000988,-3.5177,-0.0548,-54824.84,0.9349
COALINDIA.NS vs POWERGRID.NS,1.5695,0.011766,-3.5435,-0.0557,-55716.15,0.9782
JSWSTEEL.NS vs M&M.NS,0.1772,0.000116,-3.5531,-0.0562,-56162.56,0.9443
NTPC.NS vs POWERGRID.NS,1.3383,0.003027,-3.6132,-0.0598,-59829.57,0.987
