Date,HDFC,ICICI,AXISBANK,SBIN,KOTAK,INDUSIND,BANKBEES
2015-05-22,550.465087890625,183.7480010986328,233.72109985351562,261.7254638671875,802.862548828125,137.7368621826172,251.75881958007812
2015-05-25,544.12451171875,183.2310028076172,233.54998779296875,260.515380859375,804.2749633789062,136.52554321289062,247.48037719726562
2015-05-26,546.2057495117188,183.0749969482422,234.42843627929688,258.4705810546875,803.1921997070312,137.25035095214844,247.03466796875
2015-05-27,559.3223876953125,185.052001953125,236.88131713867188,261.349853515625,810.1134033203125,136.47096252441406,250.24351501464844
2015-05-28,556.273193359375,185.75599670410156,234.8848114013672,262.4765625,805.405029296875,135.83554077148438,250.55943298339844
2015-05-29,566.6793823242188,187.18600463867188,239.71072387695312,264.7716979980469,822.967041015625,138.92823791503906,251.0558319091797
2015-06-01,559.95166015625,186.1739959716797,236.43638610839844,264.1040344238281,831.4420776367188,138.27792358398438,251.10098266601562
2015-06-02,535.412353515625,180.7570037841797,230.18434143066406,254.1307373046875,797.73046875,134.9568634033203,240.3150177001953
2015-06-03,533.2827758789062,177.51800537109375,229.4427947998047,246.82815551757812,793.4458618164062,133.63145446777344,232.3270721435547
2015-06-04,538.6067504882812,177.44900512695312,231.587646484375,246.27630615234375,797.2597045898438,135.52279663085938,232.50759887695312
2015-06-05,530.8626708984375,175.54200744628906,230.8574981689453,241.18270874023438,785.7714233398438,134.66397094726562,232.6881103515625
2015-06-08,535.8963012695312,174.8470001220703,228.96360778808594,240.376220703125,764.3485717773438,134.31649780273438,230.11570739746094
2015-06-09,540.8333129882812,176.5489959716797,228.5985565185547,243.72950744628906,761.9945068359375,132.14219665527344,232.50759887695312
2015-06-10,546.44775390625,178.8979949951172,231.73594665527344,248.3137664794922,771.7876586914062,132.50454711914062,235.2153778076172
2015-06-11,529.2654418945312,174.71600341796875,228.2220458984375,244.91802978515625,748.7168579101562,127.17298889160156,229.2582550048828
2015-06-12,533.8150634765625,175.91299438476562,230.26422119140625,251.24258422851562,763.5009765625,130.17140197753906,229.21315002441406
2015-06-15,532.4598388671875,175.2989959716797,229.36293029785156,254.0016632080078,748.198974609375,128.0466766357422,225.87353515625
2015-06-16,533.5247192382812,176.96099853515625,230.0930938720703,256.42108154296875,773.6238403320312,127.99207305908203,229.7998046875
2015-06-17,531.6854858398438,177.05999755859375,229.24884033203125,255.8268280029297,770.4692993164062,128.57786560058594,230.25112915039062
2015-06-18,532.4598388671875,178.50900268554688,232.6486358642578,257.52471923828125,777.3904418945312,129.894287109375,232.95889282226562
2015-06-19,533.911865234375,179.64500427246094,235.13580322265625,258.54345703125,786.0068969726562,131.95587158203125,234.80917358398438
2015-06-22,553.85302734375,183.8300018310547,238.93490600585938,267.4572448730469,790.2913818359375,134.91163635253906,240.08935546875
