requested_date,actual_date,symbol,close,ema_50,ema_200,above_50ema,above_200ema,above_both,ema50_above_ema200
2026-03-02,2026-03-02,ABB.NS,5958.6298828125,5545.67044776707,5477.472594478684,True,True,True,True
2026-03-02,2026-03-02,ABBOTINDIA.NS,26805.0,27408.55475269181,29020.262264062934,False,False,False,False
2026-03-02,2026-03-02,ABCAPITAL.NS,338.1000061035156,346.43276285130213,306.1857054711113,False,True,False,True
2026-03-02,2026-03-02,ABCOTS.NS,410.1499938964844,417.46192439130147,416.8590205955081,False,False,False,True
2026-03-02,2026-03-02,ABDL.NS,471.0,519.1707362745201,509.15695225157646,False,False,False,True
2026-03-02,2026-03-02,ABFRL.NS,65.94000244140625,71.34605795947637,103.93271852886429,False,False,False,False
2026-03-02,2026-03-02,ABINFRA.NS,17.940000534057617,19.373408080476533,17.340569935781204,False,True,False,True
2026-03-02,2026-03-02,ABMINTLLTD.NS,39.02000045776367,43.044094573924106,47.421418284102344,False,False,False,False
2026-03-02,2026-03-02,ABREL.NS,1255.9000244140625,1432.8030483589305,1723.9766798455312,False,False,False,False
2026-03-02,2026-03-02,ABSLAMC.NS,876.4000244140625,838.1258123048842,789.1736520281236,True,True,True,True
2026-03-02,2026-03-02,ACC.NS,1553.199951171875,1685.5716374411559,1816.397420951697,False,False,False,False
2026-03-02,2026-03-02,ACCELYA.NS,1165.9000244140625,1242.1254292271715,1297.419771246305,False,False,False,False
2026-03-02,2026-03-02,ACCURACY.NS,4.489999771118164,5.249639541983518,6.565092734010669,False,False,False,False
2026-03-02,2026-03-02,ACE.NS,867.0,901.1723224088755,1022.6642950218035,False,False,False,False
2026-03-02,2026-03-02,ACEINTEG.NS,17.450000762939453,20.07294433569523,23.14353611514086,False,False,False,False
2026-03-02,2026-03-02,ACI.NS,551.0999755859375,564.8212346586365,594.4930590857618,False,False,False,False
2026-03-02,2026-03-02,ACL.NS,53.060001373291016,61.18060698359013,69.4399366136627,False,False,False,False
2026-03-02,2026-03-02,ACMESOLAR.NS,232.27999877929688,229.60114666590223,243.72652323013415,True,False,False,False
2026-03-02,2026-03-02,ADANIENSOL.NS,972.2999877929688,982.6840038967689,932.2160416360784,False,True,False,True
2026-03-02,2026-03-02,ADANIENT.NS,2124.60009765625,2192.5358756304795,2337.20758167428,False,False,False,False
2026-03-02,2026-03-02,ADANIGREEN.NS,903.5499877929688,963.0911159469952,1016.7575102624675,False,False,False,False
2026-03-02,2026-03-02,ADANIPORTS.NS,1470.300048828125,1494.1143245534574,1426.1325289289764,False,True,False,True
2026-03-02,2026-03-02,ADANIPOWER.NS,137.97000122070312,143.41311149290067,135.90265216396557,False,True,False,True
2026-03-02,2026-03-02,ADFFOODS.NS,193.72000122070312,208.01717403970196,220.9510016758328,False,False,False,False
2026-03-02,2026-03-02,ADL.NS,67.7699966430664,73.86721053412793,81.04456017746173,False,False,False,False
2026-03-02,2026-03-02,ADOR.NS,1027.9000244140625,1054.6510193712643,1042.9951167012891,False,False,False,True
2026-03-02,2026-03-02,ADROITINFO.NS,9.569999694824219,9.931210902230296,11.203999661278566,False,False,False,False
2026-03-02,2026-03-02,ADSL.NS,112.8499984741211,132.44103877117527,161.58142249728832,False,False,False,False
2026-03-02,2026-03-02,ADVANIHOTR.NS,54.06999969482422,55.953323807224194,57.64546918470169,False,False,False,False
2026-03-02,2026-03-02,ADVENZYMES.NS,295.3999938964844,298.6746144550307,311.7984672489557,False,False,False,False
2026-03-02,2026-03-02,AEGISLOG.NS,677.8499755859375,711.1356288710004,741.7882053769041,False,False,False,False
2026-03-02,2026-03-02,AEROFLEX.NS,225.8300018310547,197.06983692565362,187.08510326988633,True,True,True,True
2026-03-02,2026-03-02,AERONEU.NS,67.30999755859375,72.55463365490456,84.13596322350392,False,False,False,False
2026-03-02,2026-03-02,AETHER.NS,932.1500244140625,950.086034156113,865.609410630169,False,True,False,True
2026-03-02,2026-03-02,AFCONS.NS,284.29998779296875,344.43818032820013,399.16830400663986,False,False,False,False
2026-03-02,2026-03-02,AFFLE.NS,1357.800048828125,1598.8203983945705,1717.2128166320638,False,False,False,False
