Date,Close,gmm_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,gmm_regime,numeric_regime,smoothed_numeric_regime,smoothed_regime
2022-10-03,16887.349609375,1,0.07736257850387578,0.9226372183426526,2.031534708610234e-07,Risk-Off,0,0,Risk-Off
2022-10-04,17274.30078125,0,0.9999904485808955,9.54625567684028e-06,5.163427453330319e-09,Neutral,1,1,Neutral
2022-10-06,17331.80078125,0,0.8181909581251279,0.1818086490639867,3.9281088571206144e-07,Neutral,1,1,Neutral
2022-10-07,17314.650390625,1,0.32431672345235607,0.6756797890394504,3.4875081934787668e-06,Risk-Off,0,0,Risk-Off
2022-10-10,17241.0,1,0.29815771946802083,0.7018398460297934,2.434502185898758e-06,Risk-Off,0,0,Risk-Off
2022-10-11,16983.55078125,1,0.018672831863396373,0.9813271672533119,8.832922355432768e-10,Risk-Off,0,0,Risk-Off
2022-10-12,17123.599609375,0,0.9382374135332086,0.06176253444965731,5.201713430161229e-08,Neutral,1,1,Neutral
2022-10-13,17014.349609375,1,0.25582104750814466,0.7441787929411146,1.5955074082678683e-07,Risk-Off,0,0,Risk-Off
2022-10-14,17185.69921875,0,0.9466174099374128,0.053381926731111966,6.633314759116107e-07,Neutral,1,1,Neutral
2022-10-17,17311.80078125,0,0.8463195138614151,0.15367560535156263,4.880787021518575e-06,Neutral,1,1,Neutral
2022-10-18,17486.94921875,0,0.9798923313297768,0.02010741471538843,2.539548348931972e-07,Neutral,1,1,Neutral
2022-10-19,17512.25,0,0.5610820329626767,0.43891587362189977,2.0934154242764578e-06,Neutral,1,1,Neutral
2022-10-20,17563.94921875,0,0.9587167365412324,0.041282358255394634,9.052033721555381e-07,Neutral,1,1,Neutral
2022-10-21,17576.30078125,0,0.9356162700737466,0.06438254906470145,1.1808615526155529e-06,Neutral,1,1,Neutral
2022-10-24,17730.75,1,0.3886893608110035,0.6112401581644096,7.048102458739095e-05,Risk-Off,0,0,Risk-Off
2022-10-25,17656.349609375,0,0.7568439731629744,0.24315537678474913,6.500522764071209e-07,Neutral,1,1,Neutral
2022-10-27,17736.94921875,0,0.9868418532282109,0.013149340554607047,8.806217181934329e-06,Neutral,1,1,Neutral
