feature,null_pct,unique_values,dominant_pct,variance,is_dead_feature,is_near_constant
EMA21_50_Spread,0.0,2564,0.000390015600624025,0.00031796507984054235,False,False
EMA50_200_Spread,0.0,2564,0.000390015600624025,0.002174090785808854,False,False
EMA50_Slope_5,0.0,2564,0.000390015600624025,1.9611908629767527e-06,False,False
EMA50_Slope_20,0.0,2564,0.000390015600624025,1.7451606560214484e-06,False,False
EMA200_Slope_20,0.0,2564,0.000390015600624025,4.971027807288949e-07,False,False
ADX14,0.0,2564,0.000390015600624025,99.93100698413599,False,False
ADX28,0.0,2564,0.000390015600624025,71.53938764341645,False,False
ATR5,0.0,2564,0.000390015600624025,16015.061775075437,False,False
NATR5,0.0,2564,0.000390015600624025,1.0336333237774702,False,False
ATR14,0.0,2564,0.000390015600624025,14938.035794272191,False,False
NATR14,0.0,2564,0.000390015600624025,0.8332063055217553,False,False
ATR21,0.0,2564,0.000390015600624025,14541.756340544489,False,False
NATR21,0.0,2564,0.000390015600624025,0.7822131437077513,False,False
ATR50,0.0,2564,0.000390015600624025,13575.283147697224,False,False
ATR5_ATR50_RATIO,0.0,2564,0.000390015600624025,0.05986694614179099,False,False
GK_VOL_21,0.0,2564,0.000390015600624025,4.478825677138836e-05,False,False
VOL_Z_20,0.0,2564,0.000390015600624025,1.001757744712043,False,False
CMF20,0.0,2564,0.000390015600624025,0.03521488547125231,False,False
Trendline_Support_Value,0.0,2564,0.000390015600624025,102237056.65458676,False,False
Trendline_Resistance_Value,0.0,2564,0.000390015600624025,115865857.98328401,False,False
Dist_Trendline_Support,0.0,2564,0.000390015600624025,0.0025825140202498566,False,False
Dist_Trendline_Resistance,0.0,2564,0.000390015600624025,0.002979727821772802,False,False
Trendline_Slope_Up,0.0,2564,0.000390015600624025,0.0026739709489763206,False,False
Trendline_Slope_Down,0.0,2564,0.000390015600624025,0.002366768031229523,False,False
Trendline_Support_Slope,0.0,2564,0.000390015600624025,0.0026739709489763206,False,False
Trendline_Resistance_Slope,0.0,2564,0.000390015600624025,0.002366768031229523,False,False
trend_score,0.0,2564,0.000390015600624025,422.82934928095966,False,False
volatility_score,0.0,2564,0.000390015600624025,55.88775374737201,False,False
volatility_expansion_score,0.0,2564,0.000390015600624025,552.8098350161367,False,False
volatility_compression_score,0.0,2564,0.000390015600624025,552.8098350161367,False,False
